,,,,,
Country,City,hotel,mountain,beach,plain
Italy,Agrigento,237,1,0,0
Italy,Alessandria,157,0,0,1
Italy,Ancona,113,0,1,0
Italy,Aosta,88,1,0,0
Italy,Arezzo,185,0,0,1
Italy,Ascoli Piceno,164,1,0,0
Italy,Asti,111,0,0,1
Italy,Avellino,108,1,0,0
Italy,Bari,567,0,1,0
Italy,Barletta,710,0,1,0
Italy,Belluno,109,1,0,0
Italy,Benevento,114,1,0,0
Italy,Bergamo,359,0,0,1
Italy,Biella,106,1,0,0
Italy,Bologna,845,0,0,1
Italy,Bolzano,120,1,0,0
Italy,Brescia,91,0,0,1
Italy,Brindisi,99,0,1,0
Italy,Cagliari,516,0,1,0
Italy,Caltanissetta,100,1,0,0
Italy,Campobasso,103,1,0,0
Italy,Carbonia,450,0,0,1
Italy,Caserta,156,0,0,1
Italy,Catania,840,0,1,0
Italy,Catanzaro,103,1,0,0
Italy,Chieti,119,1,0,0
Italy,Como,254,1,0,0
Italy,Cosenza,108,1,0,0
Italy,Cremona,119,0,0,1
Italy,Crotone,109,0,1,0
Italy,Cuneo,115,0,0,1
Italy,Enna,173,1,0,0
Italy,Fermo,126,1,0,0
Italy,Ferrara,151,0,0,1
Italy,Firenze,1651,0,0,1
Italy,Foggia,100,0,0,1
Italy,Forli,228,0,0,1
Italy,Frosinone,113,0,0,1
Italy,Genova,449,0,1,0
Italy,Gorizia,57,1,0,0
Italy,Grosseto,120,0,0,1
Italy,Imperia,90,0,1,0
Italy,Isernia,142,1,0,0
Italy,L'Aquila,102,1,0,0
Italy,La Spezia,431,0,1,0
Italy,Latina,134,0,0,1
Italy,Lecce,636,0,0,1
Italy,Lecco,121,1,0,0
Italy,Livorno,102,0,1,0
Italy,Lodi,80,0,0,1
Italy,Lucca,395,0,0,1
Italy,Macerata,117,1,0,0
Italy,Mantova,113,0,0,1
Italy,Massa,795,0,1,0
Italy,Matera,487,1,0,0
Italy,Messina,191,0,1,0
Italy,Milano,1398,0,0,1
Italy,Modena,113,0,0,1
Italy,Monza,141,0,0,1
Italy,Napoli,134,0,1,0
Italy,Novara,143,0,0,1
Italy,Nuoro,110,1,0,0
Italy,Olbia,174,0,1,0
Italy,Oristano,128,0,0,1
Italy,Padova,234,0,0,1
Italy,Palermo,1161,0,1,0
Italy,Parma,147,0,0,1
Italy,Pavia,108,0,0,1
Italy,Perugia,208,1,0,0
Italy,Pesaro,112,0,1,0
Italy,Pescara,195,0,1,0
Italy,Piacenza,113,0,0,1
Italy,Pisa,401,0,0,1
Italy,Pistoia,96,0,0,1
Italy,Pordenone,139,0,0,1
Italy,Potenza,106,1,0,0
Italy,Prato,118,0,0,1
Italy,Ragusa,204,1,0,0
Italy,Ravenna,138,0,0,1
Italy,Reggio Calabria,262,0,1,0
Italy,Reggio Emilia,106,0,0,1
Italy,Rieti,108,0,0,1
Italy,Rimini,939,0,1,0
Italy,Roma,6566,0,0,1
Italy,Rovigo,143,0,0,1
Italy,Salerno,582,0,1,0
Italy,Sanluri,222,0,0,1
Italy,Sassari,112,1,0,0
Italy,Savona,116,0,1,0
Italy,Siena,246,1,0,0
Italy,Siracusa,454,0,1,0
Italy,Sondrio,104,1,0,0
Italy,Taranto,287,0,1,0
Italy,Teramo,139,1,0,0
Italy,Terni,106,0,0,1
Italy,Torino,578,0,0,1
Italy,Tortoli,348,0,0,1
Italy,Trapani,289,0,1,0
Italy,Trento,138,1,0,0
Italy,Treviso,134,0,0,1
Italy,Trieste,299,0,1,0
Italy,Udine,108,0,0,1
Italy,Varese,109,1,0,0
Italy,Venezia,1775,0,1,0
Italy,Verbania,896,1,0,0
Italy,Vercelli,137,0,0,1
Italy,Verona,777,0,0,1
Italy,Vibo Valentia,122,1,0,0
Italy,Vicenza,138,0,0,1
Italy,Viterbo,128,0,0,0
Spain,Álava/Araba,218,1,0,0
Spain,Albacete,65,0,0,1
Spain,Alicante/Alacant,"1,388",0,1,0
Spain,Almería,254,0,1,0
Spain,Asturias,"3,902",0,1,0
Spain,Ávila,156,0,0,1
Spain,Badajoz,20,0,0,1
Spain,Barcelona,"2,647",0,1,
Spain,Burgos,189,0,0,1
Spain,Cáceres,188,0,0,1
Spain,Cádiz,"1,050",0,1,0
Spain,Cantabria,"2,289",0,1,0
Spain,Castellón/Castelló,"2,844",0,1,0
Spain,Ciudad Real,25,0,0,1
Spain,Córdoba,964,0,0,1
Spain,La Coruña/A Coruña,303,0,1,0
Spain,Cuenca,260,1,0,0
Spain,Gerona/Girona,336,0,1,0
Spain,Granada,"1,177",1,0,0
Spain,Guadalajara,499,0,0,1
Spain,Guipúzcoa/Gipuzkoa,"1,324",0,1,0
Spain,Huelva,"1,236",0,1,0
Spain,Huesca,33,0,0,1
Spain,Islas Baleares/Illes Balears,"13,175",0,1,0
Spain,Jaén,69,0,0,1
Spain,La Rioja,771,1,0,0
Spain,León,249,0,0,1
Spain,Lérida/Lleida,27,0,0,1
Spain,Lugo,119,0,0,1
Spain,Madrid,"3,273",0,0,1
Spain,Málaga,"3,702",0,1,0
Spain,Murcia,"2,825",0,1,0
Spain,Navarra,926,1,0,0
Spain,Orense/Ourense,199,0,0,1
Spain,Palencia,189,0,0,1
Spain,Las Palmas/La Palma,"1,166",0,1,0
Spain,Pontevedra,317,0,1,0
Spain,Salamanca,313,0,0,1
Spain,Tenerife,"9,185",0,1,0
Spain,Segovia,65,0,0,1
Spain,Sevilla,"2,556",0,0,1
Spain,Soria,69,0,0,1
Spain,Tarragona,302,0,1,0
Spain,Teruel,114,1,0,0
Spain,Toledo,383,0,0,1
Spain,Valencia/València,"1,401",0,1,
Spain,Valladolid,109,0,0,1
Spain,Vizcaya/Bizkaia,"1,059",0,1,0
Spain,Zamora,121,0,0,1
Spain,Zaragoza,322,0,0,1
France,Ain,449,0,0,1
France,Aisne,431,0,0,1
France,Allier,844,0,0,1
France,Alpes-de-Haute-Provence,"1,414",1,0,0
France,Alpes-Maritimes,"9,057",1,0,0
France,Ardèche,"1,431",1,0,0
France,Ardennes,"3,332",0,0,1
France,Ariège,563,1,0,0
France,Aube,645,0,0,1
France,Aude,"3,108",0,0,1
France,Aveyron,903,0,0,1
France,Bouches-du-Rhône,"4,539",0,1,0
France,Calvados,"4,025",0,1,0
France,Cantal,415,1,0,0
France,Charente,"3,157",0,0,1
France,Charente-Maritime,"3,157",0,1,0
France,Cher,410,0,0,1
France,Collectivité européenne d'Alsace,"1,549",0,0,1
France,Corrèze,541,1,0,0
France,Corse,"4,805",0,1,0
France,Côte-d'Or,"1,247",0,0,1
France,Côtes-d'Armor,"2,421",0,1,0
France,Creuse,224,0,0,1
France,Deux-Sèvres,632,0,0,1
France,Dordogne,"2,723",1,0,0
France,Doubs,472,0,0,1
France,Drôme,"1,172",0,0,1
France,Essonne,494,0,0,1
France,Eure,646,0,0,1
France,Eure-et-Loir,403,0,0,1
France,Finistère,"2,760",0,1,0
France,Gard,"3,121",0,0,1
France,Gers,503,0,0,1
France,Gironde,"4,453",0,0,1
France,Haute-Garonne,"1,607",0,0,1
France,Haute-Loire,632,0,0,1
France,Haute-Marne,276,0,0,1
France,Hautes-Alpes,"3,276",1,0,0
France,Haute-Saône,267,0,0,1
France,Haute-Savoie,"7,789",1,0,0
France,Hautes-Pyrénées,"2,231",1,0,0
France,Haute-Vienne,539,0,0,1
France,Hauts-de-Seine,713,0,0,1
France,Hérault,"6,398",0,1,0
France,Ille-et-Vilaine,"2,116",0,1,0
France,Indre,508,0,0,1
France,Indre-et-Loire,"1,725",0,0,1
France,Isère,217,1,0,0
France,Jura,649,0,0,1
France,Landes,"2,708",0,0,1
France,Loire,"6,274",0,0,1
France,Loire-Atlantique,"2,149",0,1,0
France,Loiret,688,0,0,1
France,Loir-et-Cher,"1,481",0,0,1
France,Lot,"1,032",0,0,1
France,Lot-et-Garonne,789,0,0,1
France,Lozère,295,1,0,0
France,Maine-et-Loire,"1,002",0,0,1
France,Manche,"1,844",0,1,0
France,Marne,673,0,0,1
France,Mayenne,395,0,0,1
France,métropole de Lyon,"3,600",0,0,1
France,Meurthe-et-Moselle,500,0,0,1
France,Meuse,53,0,0,1
France,Morbihan,"3,116",0,1,0
France,Moselle,"2,036",0,0,1
France,Nièvre,463,0,0,1
France,Nord,370,0,0,1
France,Oise,481,0,0,1
France,Orne,518,0,0,1
France,Paris,"4,915",0,0,1
France,Pas-de-Calais,112,0,1,0
France,Puy-de-Dôme,"1,732",1,0,0
France,Pyrénées-Atlantiques,"2,932",0,1,0
France,Pyrénées-Orientales,"4,165",0,1,0
France,Rhône,"1,643",0,0,1
France,Saône-et-Loire,44,0,0,1
France,Sarthe,918,0,0,1
France,Savoie,"10,355",1,0,0
France,Seine-et-Marne,"1,390",0,0,1
France,Seine-Maritime,"2,442",0,1,0
France,Seine-Saint-Denis,74,0,0,1
France,Somme,832,0,1,0
France,Tarn,822,0,0,1
France,Tarn-et-Garonne,499,0,0,1
France,Territoire de Belfort,64,0,0,1
France,Val-de-Marne,493,0,0,1
France,Val-d'Oise,467,0,0,1
France,Var,843,0,1,0
France,Vaucluse,"3,275",1,0,0
France,Vendée,"3,538",0,1,0
France,Vienne,33,0,0,1
France,Vosges,"1,627",1,0,0
France,Yonne,610,0,0,1
France,Yvelines,592,0,0,1